id,S1-A-01,S1-B-02,S1-B-04,S1-C-04,S1-B-03,S1-C-09,S1-C-10,S1-C-07,S1-C-11,S1-C-14,S2-A-01,S2-A-12,S2-D-13,S2-B-02,S2-B-09,S2-D-01,S2-D-05,S2-D-06,S3-A-01,S3-D-06,S3-D-02,S3-D-04,S3-B-01,S3-A-05,S3-D-08,S3-D-05,S3-B-03,S3-C-02,S5-A-01,S5-B-18,S5-B-01,S5-B-03,S5-A-02,S5-B-17,S5-B-02,S5-B-04,S5-B-13,S5-B-19,S5-B-09,S6-A-20,S6-A-01,S6-A-04,S6-A-23,S6-A-06,S6-A-07,S6-A-12,S6-A-13,S6-A-10,S6-A-11,S6-A-16,S6-A-18,S6-A-22,S9-A-04,S9-A-05,S9-A-21,S9-A-15,S9-A-16,S9-A-09,S9-A-17,S9-A-18,S9-A-19,S10-A-01,S10-A-02,S10-A-03,S10-A-04,S10-A-06,S10-A-10,S10-A-11,S10-A-17,S10-A-07,S10-A-12,S10-A-16,S15-A-02,S15-B-12,S15-B-07,S15-B-09,S15-A-05,S15-B-04,S15-A-03,S15-A-06,S15-B-05,S15-B-08,S15-B-10,S15-B-13,S17-A-01,S17-B-01,S17-B-02,S17-C-02,S17-C-03,S17-C-07,S17-C-09,S17-C-11,S17-C-15,S17-C-16,S18-A-05,S18-A-17,S18-A-10,S18-A-15,S18-A-06,S18-A-08,S18-A-07,S18-A-01,S18-A-09,S18-A-12,S18-A-16,S18-A-19,S18-A-21,S20-A-02,S20-A-03,S20-A-07,S20-A-09,S20-A-10,S20-A-14,S20-A-17,S20-A-11,S20-A-12,S20-A-18,S20-A-21,S20-A-20,S21-A-01,S21-A-02,S21-A-03,S21-A-07,S21-A-09,S21-A-05,S21-A-04,S21-A-06,S21-A-08,S21-A-10,S22-A-01,S22-A-02,S22-A-04,S22-A-09,S22-A-07,S22-A-05,S22-A-03,S22-A-06,S22-A-08,S23-A-01,S23-A-10,S23-A-12,S23-A-03,S23-A-06,S23-A-18,S23-A-16,S23-A-11,S23-A-13,S23-A-07,S23-A-05,S23-A-14,S27-A-11,S27-A-01,S27-A-10,S27-A-02,S27-A-03,S27-A-04,S27-A-06,S27-A-09,S27-A-08,S27-A-05
S1-A-01,0.0,7541.73,7399.57,7179.7,7447.85,7254.4,7515.45,7352.69,7515.05,7360.62,7283.59,7549.14,7015.02,7420.37,7325.21,7420.78,7319.81,7391.45,7301.95,7432.29,7515.13,7223.84,7038.12,7245.38,7338.06,7077.82,7365.7,7164.73,7326.52,7133.09,7231.13,7179.26,7382.63,6944.99,7380.74,7046.52,7328.03,7111.02,7158.01,7496.35,7485.51,7494.66,7558.15,7567.98,7658.22,7156.11,7594.93,7352.69,7289.46,7546.78,7387.35,7433.14,7340.21,7159.14,7358.18,7363.37,7254.23,7450.61,7378.53,7413.93,7401.8,7445.24,7287.99,7484.89,7297.56,7328.94,7691.8,7383.13,7305.53,7290.27,7388.51,7339.86,7312.58,7406.59,7383.32,7187.34,7106.23,7255.06,7274.86,7270.96,7180.7,7324.62,7272.63,7185.7,7636.58,7274.21,7493.4,7164.09,7195.32,7648.46,7458.55,7199.82,7423.24,7398.72,7275.52,7226.4,7284.04,7459.35,7133.51,7123.95,7076.47,7180.7,7318.89,7024.34,7306.72,7092.61,7048.63,7491.4,7438.07,7188.81,7621.18,7265.88,7315.06,7123.04,7427.42,7130.21,7210.18,7376.15,7450.07,7340.68,7300.64,7465.67,7278.95,7359.31,7266.04,7293.63,7269.24,7164.7,7160.63,7035.58,7025.35,7094.22,7180.1,7372.82,7364.81,7143.87,7313.74,7395.76,7395.38,7263.8,7299.73,7207.94,7353.58,7309.84,7484.37,7329.68,7002.05,7046.27,7366.97,7408.43,7356.51,7680.71,7198.27,7463.76,7091.36,7416.0,7355.94,7143.5,7402.73,6979.54
S1-B-02,7541.73,0.0,7254.46,7181.41,7573.88,7243.48,7294.46,7333.51,7589.08,7399.24,7481.6,7471.92,7126.21,7675.41,7366.41,7348.79,7166.75,7176.42,7316.8,7085.48,7192.32,7351.37,7119.49,7226.71,7114.16,7009.97,7297.46,7080.7,7186.61,7242.96,7273.75,7344.34,7120.22,7013.79,7229.47,7292.9,7504.31,7061.12,7022.49,7619.52,7444.08,7379.85,7450.46,7506.02,7477.14,6833.11,7309.78,7442.65,7392.19,7464.8,7432.6,7292.83,7313.53,7238.18,7353.09,7695.48,7240.78,7265.51,7282.89,7092.42,7420.73,7376.22,7324.49,7187.15,7402.49,7163.24,7534.33,7506.43,7191.09,7292.86,7586.38,7313.94,7134.11,7467.35,7375.28,7089.88,7328.98,7347.23,7202.14,7268.11,7169.61,7290.48,7332.15,7321.33,7587.56,7488.54,7386.1,7486.75,7325.67,7341.44,7387.06,7455.07,7609.48,7438.72,7146.77,7189.63,7297.04,7326.0,6801.62,7044.55,7131.94,7078.14,7260.43,7071.82,7385.82,7144.13,7315.43,7384.43,7323.91,7351.28,7524.49,7470.15,7439.4,7008.4,7141.89,7022.32,7342.11,7304.37,7475.34,7319.37,7147.19,7309.39,7139.17,7214.74,7521.4,7402.36,7111.86,6967.48,7300.18,6995.26,7216.79,7306.93,7272.34,7195.16,7395.54,7175.27,7120.65,7313.53,7073.47,7132.39,7370.98,7059.31,7326.69,7162.21,7654.77,7041.91,7292.41,7300.1,7215.56,7229.83,7011.23,8077.06,7282.93,7371.3,7518.54,7216.95,7316.9,7019.58,7345.07,7057.92
S1-B-04,7399.57,7254.46,0.0,7103.1,7367.56,7180.18,7507.6,7149.98,7237.33,7288.8,7139.45,7501.7,6999.54,7327.13,7253.78,7336.58,7223.71,6969.54,7370.92,7184.1,6963.15,6872.94,7067.81,7257.24,7090.21,6824.92,6929.78,7009.83,7007.7,7201.25,7040.04,7361.4,6836.74,7144.61,7315.15,6930.74,7091.71,6994.83,7031.67,7335.16,7410.54,7078.91,7334.55,7292.9,7276.83,7214.62,7385.33,7439.63,7056.53,7322.33,7058.42,7135.15,7260.88,7179.6,7360.36,7577.8,7448.74,7478.83,7320.69,7261.21,7394.83,7211.28,7126.73,6914.26,7315.67,7050.34,7182.33,7266.87,7364.95,7379.06,7322.41,7113.66,7140.85,7173.61,7254.26,7048.42,7090.03,7026.81,7210.63,7138.95,7182.63,7292.01,7262.48,7249.85,7119.89,7355.86,7415.82,7294.37,7098.53,7390.31,7292.67,7165.84,7048.98,7642.76,7003.23,6920.11,7071.41,7218.18,7047.41,6951.26,6978.05,6833.79,7283.3,6874.63,7352.41,7274.59,7206.93,7278.3,7469.05,7274.77,7242.32,7398.39,7298.85,6788.38,7215.83,7004.73,7067.46,7143.53,7146.92,7459.04,7111.53,7168.71,7130.52,6951.85,7170.24,7230.42,7098.17,7122.97,7185.91,6822.18,7251.86,7168.28,7136.94,7035.98,6967.1,6895.02,7202.82,7184.68,7169.16,6916.39,7033.76,7032.54,7316.22,7258.53,7355.29,7209.33,7174.71,7002.65,7371.82,6938.81,7120.01,7895.26,7371.68,7200.41,7224.45,7182.29,7238.95,6961.69,7133.81,6965.05
S1-C-04,7179.7,7181.41,7103.1,0.0,7312.6,6757.81,7338.83,6995.15,7015.02,6992.96,7137.7,7321.89,7103.35,7308.59,7102.51,7322.73,7155.39,7241.47,7072.59,6993.87,6986.98,6826.56,6730.4,7028.55,6890.22,6937.43,7084.76,6946.2,6925.22,6990.21,7044.96,6969.49,7023.29,6800.75,7091.54,6870.02,6994.08,6838.43,6945.54,7425.88,7427.26,7249.99,7482.29,7398.51,7545.29,6903.14,7307.28,7290.97,7283.47,7194.51,7081.67,6909.08,7308.39,6983.23,7177.73,7301.74,7185.3,7401.85,7225.08,7412.25,7130.67,7343.11,7016.29,7102.07,7354.36,7154.17,7301.57,7026.72,7085.82,7307.44,7482.86,7228.81,7023.54,7040.74,7013.69,6910.46,6859.21,7105.6,6986.47,7293.91,6975.14,7072.76,6945.1,7036.23,7462.21,7108.02,7020.62,7192.04,7108.66,7349.19,7075.43,7049.98,7404.07,7644.39,6886.63,6795.19,6899.99,7081.44,6922.28,6890.33,6777.92,7212.57,7123.53,6663.94,7218.22,6974.54,6813.8,7186.68,7361.38,6972.12,7178.26,7376.95,7337.18,7007.61,7064.95,7064.27,7204.84,7035.87,7106.63,7184.54,7008.93,6900.93,7156.63,7322.01,7092.57,7178.33,7146.12,7313.67,7127.93,6726.0,6922.08,6815.08,6952.27,7015.04,7020.28,6965.24,7157.29,6928.37,7169.21,6975.41,7215.07,7093.55,7214.4,7097.81,7091.82,6944.18,7043.19,7020.63,6965.97,7066.19,6964.13,7696.33,7097.98,7438.36,7083.12,7056.69,6961.94,6976.06,7109.57,6743.17
S1-B-03,7447.85,7573.88,7367.56,7312.6,0.0,7087.08,7526.95,7213.09,7587.05,7255.04,7414.42,7443.78,6970.3,7454.55,7448.59,7448.18,7326.73,7525.69,7450.03,7150.56,7404.46,7206.21,7035.52,7373.74,6946.8,7120.93,7193.06,7210.07,7262.52,7254.93,7289.7,7193.52,7240.2,7100.51,7343.02,7175.07,7111.91,7173.06,7250.63,7538.53,7578.17,7367.32,7413.88,7455.42,7500.27,7178.08,7387.47,7528.22,7343.02,7553.81,7372.21,7324.52,7524.66,7186.21,7354.86,7481.4,7411.57,7381.38,7306.67,7098.43,7219.94,7381.72,7161.63,7233.23,7306.74,7329.26,7313.69,7451.67,7314.04,7399.67,7475.29,7272.96,7250.93,7323.13,7508.8,7003.28,6957.94,7378.03,7090.79,7096.62,6967.05,7282.56,7463.02,7293.76,7242.09,7140.84,7394.21,7267.06,7441.09,7660.73,7281.2,7388.34,7246.84,7289.12,7212.77,7378.94,7343.92,7309.72,7315.53,7150.09,6976.78,7190.58,7353.4,7173.42,7178.45,7219.31,7149.58,7335.04,7374.73,7119.78,7170.91,7228.35,7436.59,7074.05,7378.43,7256.22,7295.94,7332.6,7283.82,7364.9,7153.26,7336.58,7331.89,7355.29,7276.49,7296.8,7379.39,7076.94,7191.43,7132.86,7036.33,7148.94,7149.35,7227.75,7409.1,7052.86,7103.3,7394.01,7294.54,7005.95,7601.11,7360.04,7456.98,7226.02,7393.28,7197.28,7278.99,7075.36,7286.17,7266.57,7302.91,7687.6,7170.19,7281.29,7335.36,7335.9,7262.14,7353.11,7347.13,7103.31
S1-C-09,7254.4,7243.48,7180.18,6757.81,7087.08,0.0,7109.11,6986.94,7398.93,7385.34,7472.5,7589.67,7118.44,7399.52,7209.76,7503.79,7022.53,7098.43,7439.03,7347.99,7285.91,7005.33,6809.49,7290.1,6980.08,7065.18,7180.71,7092.5,7208.57,6968.48,7081.5,7191.73,7016.76,6950.64,7272.66,7045.84,7199.67,7078.44,7152.75,7383.79,7306.95,7490.59,7371.29,7296.79,7277.72,7123.49,7493.02,7415.32,7027.13,7150.15,7260.71,7182.05,7406.42,7304.45,7262.1,7468.79,7387.75,7227.74,7258.47,7088.16,7349.7,7352.82,7428.97,7221.73,7359.48,7172.22,7161.46,7299.57,7212.56,7318.82,7454.89,7095.92,7304.35,7299.71,7445.95,6837.79,7068.2,7137.92,7256.76,7128.05,6917.37,7128.4,7097.92,7147.57,7368.63,7388.53,7405.59,7190.06,7458.52,7302.41,7449.51,7173.48,7079.58,7446.05,7386.93,6956.7,7202.57,7372.68,7301.66,7081.34,6907.1,7018.62,7394.04,6828.3,7066.0,7086.28,6908.64,7504.18,7329.26,7300.32,7245.77,7300.66,7482.22,7145.5,7152.88,7222.41,7256.71,7134.7,7412.28,7381.15,7317.23,7196.46,7289.13,7140.82,7405.59,7085.53,7253.28,7371.46,6969.05,6587.51,7129.58,6850.89,7274.16,7017.88,7098.83,7268.33,7051.22,7149.79,7362.85,7115.99,7324.38,7220.89,7263.01,7101.15,7434.16,7182.05,7056.08,6961.98,7193.32,7209.31,7117.95,7493.07,6952.42,7280.82,7205.14,7278.79,6995.65,7094.77,7117.93,7071.9
S1-C-10,7515.45,7294.46,7507.6,7338.83,7526.95,7109.11,0.0,7307.07,7712.51,7389.7,7362.21,7325.68,7206.97,7591.21,7273.4,7416.23,7265.91,7174.74,7338.44,7368.15,7270.58,7219.18,7089.41,7211.6,7169.27,7236.24,7090.18,7233.47,7322.63,7260.5,7403.02,7246.06,7098.01,7217.68,7392.09,7216.11,7439.48,7233.93,7286.8,7615.64,7713.32,7368.58,7713.65,7480.23,7645.27,7066.47,7505.48,7413.06,7506.48,7568.4,7338.45,7339.2,7476.52,7332.66,7253.99,7374.63,7292.9,7169.33,7273.39,7371.48,7252.51,7330.49,7379.93,7454.77,7478.59,7595.39,7568.06,7613.51,7561.84,7318.11,7651.06,7033.29,7280.95,7376.99,7227.69,7284.01,7162.29,7398.63,7448.38,7218.88,7270.5,7440.0,7372.61,7433.03,7306.17,7460.64,7457.2,7559.31,7419.37,7751.49,7431.67,7424.35,7495.76,7652.8,7329.88,7401.72,7239.84,7426.31,7492.81,7387.81,7326.33,7586.11,7404.09,7099.72,7583.86,7212.94,7297.51,7564.96,7457.43,7227.75,7491.08,7454.43,7658.56,7126.43,7311.7,7305.57,7267.25,7400.56,7532.41,7286.59,7286.41,7124.21,7479.43,7422.48,7165.24,7372.23,7421.12,7160.74,7400.64,7112.9,7324.89,7300.94,7383.15,7253.27,7407.8,7378.78,7181.42,7463.24,7460.54,7116.41,7576.66,7268.26,7241.33,7030.7,7623.54,7314.1,7329.79,6954.38,7347.56,7267.79,7192.44,7850.41,7403.27,7552.81,7472.63,7263.5,7209.13,7191.0,7407.98,7265.29
S1-C-07,7352.69,7333.51,7149.98,6995.15,7213.09,6986.94,7307.07,0.0,7305.21,7194.26,7388.62,7458.95,7156.26,7569.69,7257.94,7301.8,7225.49,6889.23,7465.64,7112.22,7258.55,7068.26,7016.59,7271.55,6862.26,6989.03,7103.01,7156.44,7091.03,7040.48,7235.67,6965.38,7208.77,7139.18,7212.29,7090.79,7272.29,6969.87,7332.17,7532.86,7445.16,7170.6,7265.29,7258.98,7319.21,7028.04,7615.06,7546.06,7520.69,7319.1,7303.7,7100.21,7362.21,7143.13,7092.57,7326.88,6935.18,7313.56,7108.26,7208.71,7420.84,7300.93,7088.25,7299.4,7344.45,7326.46,7333.98,7324.29,7282.4,7360.92,7385.43,7281.8,7207.7,7237.32,7335.89,6939.84,6932.74,7054.1,6954.73,7204.82,6989.47,7267.52,7303.81,7185.16,7415.71,7243.13,7334.37,7442.33,7276.56,7341.41,7315.83,7252.36,7364.53,7428.65,7305.28,7409.96,7165.3,7296.87,7195.16,7019.28,7223.17,7122.47,7252.88,7142.07,7145.94,7081.42,7039.2,7272.51,7405.32,7009.71,7449.43,7434.94,7245.83,7065.81,7361.43,7220.8,7044.44,7369.1,7168.55,7656.99,7131.63,7412.78,7399.0,7180.84,7312.07,7087.75,7039.73,7288.96,6947.57,6822.59,7077.97,7253.34,7078.01,7200.07,7254.64,7000.0,7109.63,7173.31,7399.1,7149.6,7627.71,7262.71,7258.1,7072.99,7236.88,7143.03,7225.43,7110.22,7185.78,7392.23,7117.16,7697.7,7344.68,7484.07,7353.05,7416.47,7132.02,7316.91,7090.71,7086.32
S1-C-11,7515.05,7589.08,7237.33,7015.02,7587.05,7398.93,7712.51,7305.21,0.0,7208.31,7132.72,7475.72,7227.32,7558.05,7517.99,7171.98,7013.97,7300.51,7395.97,7385.83,7120.45,7004.82,7324.17,7115.33,7160.11,7006.77,7292.47,7163.02,7063.37,7168.45,7093.06,7356.5,7146.57,7074.18,7148.37,7163.6,7397.46,7092.12,7261.61,7549.77,7410.39,7544.46,7233.6,7443.12,7488.29,7165.01,7458.64,7266.34,7401.2,7231.92,7190.13,7093.91,7379.79,7282.42,7328.78,7461.75,7242.37,7417.98,7309.82,7216.54,7208.55,7347.46,7490.63,7217.28,7218.2,7254.46,7481.85,7527.95,7427.12,7587.52,7181.73,7343.34,7309.91,7354.17,7562.27,6950.83,7058.45,7295.19,7417.52,7278.7,7295.81,7331.47,7585.34,7135.62,7468.93,7445.77,7313.32,7574.54,7347.58,7401.77,7318.33,7261.36,7201.51,7343.29,7215.06,7339.79,7054.79,7316.47,7312.7,7143.04,7009.44,7348.42,7056.7,7194.33,7193.28,7205.97,7190.44,7432.53,7442.45,7328.44,7460.32,7237.81,7406.79,7198.97,7293.83,7165.42,7339.53,7246.56,7150.81,7440.88,7239.97,7260.3,7345.99,7376.39,7440.07,7702.3,7364.16,7383.65,7103.56,6784.06,7199.61,7189.99,7278.63,7159.4,7368.29,7361.41,7034.06,7137.67,7449.27,7089.96,7712.4,7175.22,7338.77,7245.65,7312.88,7181.71,7214.14,7245.22,7025.29,7493.17,7011.31,7698.55,7336.6,7563.32,7353.64,7279.62,7409.79,7166.45,7390.55,7024.57
S1-C-14,7360.62,7399.24,7288.8,6992.96,7255.04,7385.34,7389.7,7194.26,7208.31,0.0,7393.82,7614.73,7007.29,7588.3,7444.45,7358.65,7119.95,7361.76,7182.52,7186.1,7194.15,7113.33,7189.41,7342.54,7068.98,6956.44,7129.91,7280.98,7090.59,6897.45,7322.0,7145.19,7358.7,7100.63,7334.76,6924.28,7184.43,7190.52,7257.63,7614.96,7456.6,7424.97,7392.34,7388.91,7373.94,7206.51,7435.73,7232.0,7104.57,7604.0,7306.93,7209.02,7525.3,7191.52,7358.01,7584.77,7219.95,7368.32,7353.71,7331.2,7326.6,7254.23,7467.86,7374.06,7502.52,7218.38,7227.42,7356.96,7441.09,7232.32,7453.21,7343.4,7134.88,7243.19,7345.31,7112.3,7397.47,7276.67,7127.8,7233.68,7194.62,7220.58,7434.13,7091.76,7281.52,7305.15,7273.09,7366.68,7448.3,7309.21,7432.44,7484.76,7111.37,7421.85,6983.55,7158.33,7292.23,7427.43,7156.02,6994.79,7059.02,7073.98,7328.42,6929.52,7327.73,7417.93,7249.0,7341.26,7228.85,7138.33,7674.15,7434.85,7603.93,7117.32,7457.15,7072.53,7135.08,7264.48,7502.84,7356.42,7119.93,7013.17,7423.31,7462.77,7360.47,7499.61,7038.84,7197.85,7310.89,7019.61,7433.4,7301.16,7358.3,7252.49,7234.36,7272.29,7241.01,7278.98,7213.64,7059.08,7146.94,7148.78,7339.71,7271.89,7482.98,7172.82,7156.77,7086.44,7076.67,7090.76,7285.6,7899.54,7180.37,7493.47,7411.49,7210.67,7248.27,7133.35,7403.86,6983.02
